id,name,role,industry,experience,funding_needed,funding_available,email,phone,linkedin
73,Christopher Jackson,investor,Finance,5,0,66110,phamderrick@page-brooks.net,001-206-934-8932x373,https://www.williams.net/
74,Ryan Hale,newbie,Education,0,0,0,mmooney@clark.com,001-379-749-2056x5696,https://waters-webb.org/
75,Scott Jones,newbie,AI,0,0,0,garciashirley@hotmail.com,(369)764-6318,http://www.bird.org/
76,Robert Willis,mentor,AI,4,0,0,rachel09@gmail.com,704-657-2909x779,http://houston.info/
77,Samantha Thomas,investor,Finance,3,0,179475,rachelcallahan@melendez-madden.com,516.372.5004x13636,https://hill.com/
78,Regina Crane,mentor,Education,7,0,0,chloe28@gmail.com,(175)377-3330x79899,http://www.lane.com/
79,Ruth Johnson,newbie,Healthcare,0,0,0,eferguson@hotmail.com,001-731-511-3478,https://mercer.org/
80,Edwin Ramos,investor,Education,6,0,385376,ashleypatterson@yahoo.com,(182)003-7690x76542,https://vaughn.net/
81,Zachary Smith,entrepreneur,Blockchain,7,89740,0,wsmith@hotmail.com,852-449-5334,https://kidd.info/
82,Robert Bruce,newbie,Blockchain,0,0,0,darlene69@gmail.com,+1-121-346-7194x93555,https://collins.com/
83,Elizabeth Lewis,newbie,Finance,0,0,0,ashley71@ellis.org,001-081-618-9357x356,http://www.martin-williams.org/
84,Joe Bryan,entrepreneur,Education,1,55563,0,iwilliams@stewart-paul.info,(695)157-2230,https://www.rogers.biz/
85,Heidi Nash,mentor,Finance,18,0,0,samanthawheeler@leonard-gutierrez.com,+1-411-620-4766x652,https://www.hill-robinson.com/
86,Nicole Woodard,mentor,Tech,5,0,0,nriddle@short.biz,190.183.9337x332,http://allen.com/
87,Jasmine Jones,newbie,Education,0,0,0,rrivera@gmail.com,914-107-9298,https://brown-rodriguez.biz/
88,Maureen Massey,entrepreneur,Tech,21,53371,0,whitenicholas@black.org,+1-395-053-2330x50453,http://pollard.biz/
89,Tony Flores,entrepreneur,E-commerce,9,10427,0,tonyharvey@hotmail.com,001-682-627-5273x341,http://www.chung.com/
90,Shannon Rodriguez,mentor,Finance,17,0,0,tbass@hotmail.com,437.485.0586x67328,http://www.porter.biz/
91,Kyle Dixon,mentor,Healthcare,26,0,0,courtneyhanson@parker-byrd.org,001-486-618-7255x451,http://walker.com/
92,Cassandra Jones,newbie,Healthcare,0,0,0,richardsonlisa@gmail.com,(385)270-3127,https://johnson-reynolds.com/
93,Nicholas Montoya,entrepreneur,Education,13,43564,0,jennifer60@knox-burch.com,(332)525-4362x8144,http://benjamin.com/
94,Greg Martin,mentor,Blockchain,28,0,0,jason79@stevens-patrick.com,003.975.5193,https://moss.com/
95,Misty Gilmore,newbie,Education,0,0,0,hopkinseric@gmail.com,(475)253-8607x774,https://www.wallace.com/
96,John Chen,investor,AI,21,0,342764,kimmiguel@gmail.com,(313)134-2002x95314,https://gonzalez-schmidt.org/
97,Bradley Cook,investor,E-commerce,20,0,384342,wilcoxcindy@kelly-mcdonald.biz,761-155-6265,https://www.gutierrez.biz/
98,Jeffery Santos,entrepreneur,AI,16,9790,0,pamela28@gmail.com,001-473-326-4480x216,http://melendez-baldwin.com/
99,Wendy Acevedo,newbie,Finance,0,0,0,heathermorris@hodges.com,+1-237-649-9393x1531,https://reid-taylor.info/
100,Rachel Adams,mentor,Finance,26,0,0,psmith@simmons-hernandez.com,230.553.4401x83774,https://collier.info/
101,Alexandria Mcneil,entrepreneur,Education,28,68850,0,simmonsmegan@yahoo.com,001-799-686-7764x0820,http://www.spears-mays.com/
102,Michael Campbell,newbie,E-commerce,0,0,0,tfoster@summers.com,001-902-184-2885x57068,https://www.anderson.com/
103,Anthony Reyes,entrepreneur,Education,17,77162,0,stephanie35@hansen.com,578.026.1850x7936,https://www.townsend-barr.org/
104,Todd Lucas,entrepreneur,Tech,11,31712,0,renee95@williams-brown.biz,+1-823-391-6266x2956,http://www.smith.info/
105,Mary Scott,newbie,Blockchain,0,0,0,bakerrobert@allen-higgins.com,882-828-1801x837,https://thompson.info/
106,Mrs. Danielle Ellis,newbie,Healthcare,0,0,0,james57@garcia.biz,2222512447,https://wong.com/
107,Sharon Brown,entrepreneur,E-commerce,23,80203,0,inichols@yahoo.com,001-783-598-5539,https://www.fischer.info/
108,Kimberly Robinson,mentor,E-commerce,1,0,0,jordansloan@gmail.com,0726441453,https://bautista.com/
109,George Morris,newbie,Healthcare,0,0,0,elizabeth76@gmail.com,8499867636,https://www.nielsen.com/
110,Tara Day,entrepreneur,E-commerce,22,16096,0,brittany51@yahoo.com,(187)708-6798x1161,http://www.roberts-pitts.com/
111,Nicole Holt,investor,E-commerce,21,0,364377,vtaylor@yahoo.com,098.286.4111x7456,http://www.cole-wilson.com/
112,Gregory Dixon,investor,Tech,23,0,449876,awilliamson@gmail.com,+1-854-816-2417x77159,https://www.taylor.biz/
113,Elizabeth Nichols,investor,Blockchain,2,0,291842,zalexander@hotmail.com,671-146-1500,http://www.dougherty-lee.org/
114,Sandra Andrade,newbie,Healthcare,0,0,0,nicholegrant@young-lewis.biz,467.582.9349,http://www.sims-davidson.com/
115,April Garcia,investor,Tech,0,0,400921,ibeltran@hotmail.com,767.974.2520x652,https://www.smith.com/
116,Kyle Fisher,investor,Finance,14,0,267285,sean44@santiago.com,(284)305-2904x4420,https://www.jones.info/
117,Hannah Barker,newbie,Healthcare,0,0,0,wdavis@gmail.com,768.633.7247x05423,http://morris-harper.info/
118,Mr. John Potts,newbie,Healthcare,0,0,0,jhoover@hotmail.com,216-113-8984x2427,https://www.perry.com/
119,Samuel Whitaker,mentor,Education,7,0,0,ebrown@mills-clark.com,819.797.3301x20375,http://strong.net/
120,Justin Stanton,entrepreneur,Healthcare,14,16424,0,harrisdavid@fields.info,+1-762-728-2901x93717,http://www.pierce-holmes.org/
121,Jessica Jensen,investor,E-commerce,16,0,118252,ppena@gmail.com,+1-450-785-9552x38446,https://moss.org/
122,Todd Brooks,mentor,AI,20,0,0,colliernancy@johnson-small.com,+1-767-799-8981x93281,https://reed.info/
123,Scott Mendez,newbie,AI,0,0,0,gmartinez@riley-soto.net,119-066-4227,https://hawkins.com/
124,Brian Conley,newbie,Tech,0,0,0,xking@smith.biz,(908)137-5977,https://www.johns.com/
125,Matthew Pugh,entrepreneur,Healthcare,23,92206,0,cmanning@lamb.net,+1-227-299-6180x107,https://allen-velazquez.com/
126,Amy Delgado,newbie,Finance,0,0,0,mmorris@hotmail.com,4196552137,https://barnes.com/
127,Tammy Anderson,mentor,E-commerce,1,0,0,evelynfreeman@gmail.com,2089978236,http://www.myers.org/
128,Kaylee Glass,investor,AI,12,0,271784,susan24@yahoo.com,498-444-1562,http://www.smith.com/
129,Kristina Reyes,investor,AI,13,0,253264,joycestevens@gomez-wilson.com,997.507.4372x2311,http://webb.biz/
130,Christopher Graham,entrepreneur,Education,2,57580,0,garnerjesus@gmail.com,7340005162,https://thomas.com/
131,Heather Cabrera,entrepreneur,Blockchain,13,80462,0,jsummers@yahoo.com,7412261376,http://nguyen-johnson.info/
132,Julie Leon,investor,AI,1,0,20363,connie92@gmail.com,521-060-2633x0731,https://www.hodges.biz/
133,Clayton Lloyd,investor,AI,5,0,25378,kodom@weaver.info,4953967017,http://www.stone.net/
134,Dr. Joseph Thomas,entrepreneur,Finance,16,22725,0,greid@hotmail.com,+1-088-849-1550,https://www.acevedo.com/
135,Kimberly Berry,investor,Tech,0,0,273150,williamsthomas@foley.biz,001-968-000-9825x3758,http://www.sullivan-merritt.com/
136,Michael French,newbie,Tech,0,0,0,rmorales@rush.org,(905)529-7683,http://taylor.org/
137,Robin Butler,mentor,AI,8,0,0,nharris@dickson-green.net,682.055.7802x64631,http://wright.com/
138,Brady Graves,mentor,E-commerce,4,0,0,david18@yahoo.com,+1-362-034-3964x09876,https://www.cruz-lee.org/
139,Dana Molina,mentor,E-commerce,10,0,0,jenniferperez@hotmail.com,(499)245-7278,http://baldwin.info/
140,Lisa Schwartz,newbie,AI,0,0,0,wjones@brown.com,(004)733-7743,https://martinez.biz/
141,Rachel Joyce,newbie,AI,0,0,0,carsonnancy@hotmail.com,715-269-4461x31126,https://huynh.org/
142,Kevin Smith,newbie,Healthcare,0,0,0,ashleygarrett@yahoo.com,(376)313-6343x48436,https://fowler.com/
143,Sheila Brown,entrepreneur,Education,24,63307,0,lwilliams@meyer.com,001-641-841-2307x848,https://campbell.com/
144,Michael Wyatt,investor,Healthcare,3,0,298106,jodi86@hotmail.com,(929)111-9263x463,http://www.moore-rush.com/
145,Sarah Burgess,newbie,Blockchain,0,0,0,ccantu@hotmail.com,+1-939-383-1972x87761,https://sampson.org/
146,James Daniels,entrepreneur,Finance,7,63573,0,pallen@yahoo.com,557.783.9561,https://green.org/
147,David Barber,entrepreneur,Education,3,38469,0,awalker@ali.org,+1-438-571-9570x3407,http://www.young.com/
148,Joshua Evans,mentor,Healthcare,2,0,0,welchrodney@hotmail.com,+1-229-933-5276,https://ellis.com/
149,Stephen Kelley,mentor,Finance,26,0,0,jordan82@ford-james.net,311.109.2992x70913,https://williams.com/
150,Laura Flores,investor,Tech,23,0,188166,jessicagreen@yahoo.com,074-253-4804x28902,https://www.crawford.com/
151,Mr. Joseph Johnson,entrepreneur,Tech,20,36631,0,yedwards@valdez.com,(692)115-2907x174,https://mora.com/
152,Roger White,newbie,Tech,0,0,0,rachel95@yahoo.com,(305)592-3272,http://www.ramirez.info/
153,Victor Thompson,newbie,Blockchain,0,0,0,bradleycoleman@gmail.com,+1-455-225-6593x0678,http://schwartz-phillips.com/
154,Paul Mcknight,newbie,Healthcare,0,0,0,morgananthony@gmail.com,774.822.8997x17604,http://guzman.org/
155,Laura Dominguez,investor,Healthcare,27,0,26502,gwendolynwalker@gmail.com,343.692.2582x2770,https://www.craig-ford.net/
156,April Johnston,newbie,Tech,0,0,0,danieldavis@yahoo.com,+1-269-443-6906x5824,http://pena.com/
157,Jasmin Porter,entrepreneur,Finance,22,22118,0,annettedaniels@lee-smith.com,9983868110,http://www.harrington.com/
158,Brian Walton,entrepreneur,Education,22,91910,0,trujillotina@harrington-rodriguez.biz,830-398-7774x25711,https://www.howard-hutchinson.org/
159,Matthew Shannon,mentor,E-commerce,13,0,0,thomas50@hotmail.com,+1-763-205-8235x6736,http://holmes-atkins.info/
160,Emily Sawyer,mentor,Healthcare,14,0,0,jessica61@hotmail.com,(523)953-0967x506,http://mcbride.com/
161,Donald Moore,newbie,Finance,0,0,0,qnorris@clark.com,+1-452-009-7268x583,https://www.reyes.biz/
162,John Benjamin,newbie,Blockchain,0,0,0,gobrien@douglas.com,+1-231-910-0605x17768,http://coleman.com/
163,James Rodriguez,newbie,Blockchain,0,0,0,jessica10@yahoo.com,(570)205-1672x41364,https://www.orozco.net/
164,Jeffrey Holt,mentor,Finance,5,0,0,lucas44@obrien-jimenez.com,341-509-4210x407,http://hunt.com/
165,Victoria Patel,entrepreneur,Finance,27,44101,0,ashleywilliams@schroeder.info,+1-599-152-5029x4937,https://horn.com/
166,Walter Mckinney,newbie,Tech,0,0,0,phillipsdana@bridges-woodard.com,161.345.2109,https://www.mayer-brown.info/
167,Catherine Newman,entrepreneur,Healthcare,4,97732,0,smoon@gmail.com,(384)044-8748x07916,http://rodriguez.com/
168,Nicole Golden,newbie,Blockchain,0,0,0,robin80@hotmail.com,547.691.4947x236,http://www.rivera.org/
169,Javier Nelson,newbie,Tech,0,0,0,kristen97@hamilton.info,001-051-868-7425x89844,http://nguyen.com/
170,Victoria Reyes,mentor,AI,27,0,0,kellyandrew@coleman.info,(131)744-8477x2093,https://black-fernandez.net/
171,Dana Mcintyre,mentor,Blockchain,16,0,0,joe58@webb.net,(594)334-9008x223,https://may-peterson.biz/
172,Karen Hendrix,entrepreneur,Healthcare,21,40761,0,kelseymedina@diaz.com,093-217-0504x932,http://www.rodriguez.com/
173,Gina Osborne,mentor,Blockchain,18,0,0,vgray@riley.org,9462399845,https://rivera.com/
174,Bill Richardson,investor,AI,10,0,490148,malik49@hotmail.com,+1-211-053-7623x64672,https://www.woods-hill.com/
175,Amanda Sutton,newbie,Tech,0,0,0,vgarcia@gmail.com,+1-362-037-2320x606,http://keller.com/
176,Stephen Winters,mentor,Finance,11,0,0,patricia62@wright.com,+1-748-563-5172x3379,https://smith.com/
177,Kimberly Burke,mentor,Healthcare,7,0,0,montgomerynicole@gmail.com,001-970-498-3047x860,https://www.holloway.info/
178,Kathleen Wade,entrepreneur,Finance,12,32767,0,jboyd@underwood-ortiz.biz,825-187-6467x025,https://www.clark.info/
179,Kelsey Thomas,investor,Education,2,0,296797,rholt@wolfe.com,159.553.9730,https://www.gonzales-bailey.com/
180,Pam Raymond,entrepreneur,Blockchain,13,61790,0,christine25@burton-knox.com,+1-727-666-5526x7172,https://www.dickerson-horton.com/
181,Kelly Case,newbie,Finance,0,0,0,reyesmichelle@arnold.com,+1-480-173-7429,http://www.whitney.net/
182,Anthony Wilkinson,mentor,Finance,23,0,0,lyonsvictoria@yahoo.com,697.755.5240,http://www.maldonado.com/
183,Madeline Davis,investor,AI,16,0,63732,gregorydelacruz@king-alvarez.com,001-010-324-4804,http://bell.info/
184,Fernando Little,mentor,Finance,26,0,0,michaelwalker@gmail.com,+1-444-428-2770x59418,https://www.lawrence.com/
185,Clifford Jones,mentor,Healthcare,25,0,0,spencer60@johnson.com,(273)132-9760x80196,https://liu.org/
186,Cody Wilson,mentor,Blockchain,26,0,0,jordantammy@hotmail.com,(966)119-2717,http://cox.com/
187,Heidi House,entrepreneur,Blockchain,13,90509,0,marissa53@gmail.com,0457597143,https://morris-gentry.com/
188,Brian Walker,mentor,Tech,30,0,0,keithedwards@lam.com,(270)930-3334,https://www.salas.info/
189,Melissa Cowan,newbie,Blockchain,0,0,0,khoffman@montes.com,868.217.6569,https://clark-kent.com/
190,Jacqueline Blackwell,investor,Blockchain,12,0,108768,cmanning@smith.biz,765-383-5637,https://bolton-shaffer.net/
191,Dillon Gutierrez,mentor,Blockchain,8,0,0,maryrodriguez@cabrera.com,258.817.1474,http://green-galloway.net/
192,Melissa Wilson,investor,Finance,5,0,118281,phillipmontgomery@yahoo.com,792-255-6898,http://www.chambers.biz/
193,Katrina Luna,entrepreneur,E-commerce,0,76280,0,wilsonjacob@schmidt.com,+1-154-378-3320x464,https://www.davis.com/
194,Jenna Middleton,investor,Blockchain,23,0,94400,hmartinez@colon.com,+1-470-904-5256,https://www.moore.com/
195,Gregory Friedman,investor,Tech,18,0,325070,gonzalezkayla@gmail.com,+1-351-016-4659,https://www.owens.net/
196,Emma Gonzalez,newbie,E-commerce,0,0,0,derrick71@hotmail.com,935.962.6930x9934,http://harvey-anderson.com/
197,Joshua Moore,mentor,Finance,4,0,0,daniellewhite@ryan.com,394-603-8324x58834,http://rivera.biz/
198,Thomas Smith,mentor,Education,24,0,0,elizabethmann@gmail.com,001-115-635-4868x15061,http://foley.org/
199,Melvin Medina,investor,AI,2,0,45311,mortonemily@huffman-perez.com,613.480.1688x1134,http://www.brown.com/
200,James Ross,mentor,Finance,18,0,0,bryan42@cole.com,(272)412-5485,http://alvarez.info/
201,Emily Daniel,mentor,Healthcare,5,0,0,whogan@gmail.com,858.675.0019x8655,http://www.morales.net/
202,Holly Gonzales,newbie,E-commerce,0,0,0,daltonbray@gmail.com,(654)747-0241,http://thompson.com/
203,Rodney Atkinson,mentor,Finance,24,0,0,charlesli@adams-anderson.com,490.908.2521,http://dixon.info/
204,Donna Bennett,newbie,Healthcare,0,0,0,nsmith@yahoo.com,001-420-407-5095x6967,http://www.houston-durham.com/
205,Sophia Mcknight,newbie,Education,0,0,0,gregory81@yahoo.com,384.624.6433x0031,http://moon.com/
206,Lisa Boone,investor,AI,15,0,385890,william38@rodriguez.com,+1-302-304-7479,https://www.winters.net/
207,Daniel Reeves,investor,Healthcare,22,0,360043,vrice@torres.com,881.286.5828,https://www.gray-baxter.info/
208,Crystal Watson,investor,Tech,24,0,229048,marycarrillo@yahoo.com,(514)022-6446,https://contreras.info/
209,Arthur Roberts,entrepreneur,E-commerce,11,36500,0,robert18@tran.com,(806)973-8646x50952,http://www.rich.com/
210,Hunter Davidson,newbie,Tech,0,0,0,mwhite@gmail.com,001-202-222-6548x54310,http://cannon.org/
211,Timothy Contreras,newbie,Finance,0,0,0,bhodge@yahoo.com,(282)883-7182x511,https://gaines-taylor.com/
212,Shannon Holmes,entrepreneur,Tech,15,18678,0,ycarter@hotmail.com,001-120-497-6979x4257,http://www.ramsey.com/
213,Julie Morris,mentor,Finance,28,0,0,cthomas@jacobson.com,+1-166-886-3964,http://www.smith.com/
214,Paula Thompson,mentor,Healthcare,12,0,0,hernandeznatalie@bowman.com,975.952.0054,http://www.miller-marshall.biz/
215,Justin Watkins,entrepreneur,E-commerce,26,94236,0,joshuavazquez@yahoo.com,(176)301-5522,http://hill-terry.org/
216,Jason Hardy,entrepreneur,Healthcare,22,23168,0,matthewford@hotmail.com,+1-395-740-9466,http://www.richards.com/
217,Jonathan Mathis,entrepreneur,Education,0,12696,0,sorozco@mckay.com,+1-188-722-7460,https://thompson-sampson.com/
218,John Rice,investor,Tech,22,0,300824,darrellramirez@hotmail.com,875-574-3201x304,https://www.bell.com/
219,Robert Reid,investor,Tech,15,0,493613,wallschelsea@hotmail.com,845-741-9189x14058,https://mcdowell-baldwin.com/
220,John Ochoa,entrepreneur,Finance,12,46728,0,bryanangela@donaldson.com,677-609-9758,https://www.woods.info/
221,Patricia Glass,entrepreneur,Healthcare,20,86539,0,kimcraig@joseph.info,238.896.2889x1804,https://www.stokes-cross.net/
222,Jason Nielsen,entrepreneur,AI,22,15198,0,whill@yahoo.com,(644)897-3945x645,https://www.guzman.com/
223,James Williamson,mentor,Finance,29,0,0,rosalesjustin@morgan.org,447-834-6591x75786,https://www.smith.com/
224,Christy Armstrong,investor,AI,18,0,247198,mossjonathan@simpson.net,901.006.7267x967,https://mccarthy.net/
225,Heather Brown,investor,Blockchain,21,0,400046,martin82@marquez.com,9149816397,http://www.allen-lawrence.biz/
226,Adrienne Gomez,entrepreneur,Healthcare,24,37399,0,chavezpaul@hotmail.com,707-557-0195x12523,http://www.mendoza.com/
227,Scott Miles,investor,Finance,26,0,106817,victorlozano@stone.biz,001-953-188-4610,https://www.newman.com/
228,Colin Logan,investor,Finance,4,0,314752,browntyler@elliott-walters.com,001-577-178-9453x64805,http://www.pratt.com/
229,Cheryl Stokes,newbie,E-commerce,0,0,0,williambell@middleton.com,053.460.9121x820,http://www.garcia.com/
230,Victor Nicholson,entrepreneur,Blockchain,0,81103,0,james53@hotmail.com,8758936117,https://ferguson-williams.biz/
231,Robert George,mentor,Blockchain,12,0,0,luke13@weaver.com,001-357-428-3169,https://www.weaver.com/
232,Kevin Hobbs,entrepreneur,E-commerce,5,94487,0,davisgregory@white-mccoy.com,(228)545-6744x94632,https://henderson.info/
233,Jane Young,investor,Tech,26,0,63363,tjensen@gmail.com,001-980-702-3285x6805,https://www.pace.net/
234,Matthew Hernandez,mentor,AI,30,0,0,vcarlson@hotmail.com,+1-510-248-3579x7891,https://hart-bell.com/
235,Carol Thomas,investor,Education,22,0,247933,johnsonbrandon@johnson-daniels.org,0475163501,https://www.brown.com/
236,Karen Johnson,entrepreneur,AI,27,29023,0,carpenterkim@hotmail.com,001-783-792-3008x0405,https://www.fernandez-smith.com/
